Date Updated,Title,Price,URL,Description
12-04,Two Billy Bookcase doors,16,https://portland.craigslist.org/mlt/fuo/d/portland-two-billy-bookcase-doors/7693823774.html,"15 3/4x38 1/4 """
12-04,Rolling double sided Shoe Rack,16,https://portland.craigslist.org/mlt/fuo/d/rolling-double-sided-shoe-rack/7693690334.html,"22"" wide x 14"" deep x 36"" tall"
12-04,Hanging shoe rack,16,https://portland.craigslist.org/mlt/fuo/d/hanging-shoe-rack/7693690282.html,"10 mesh shelves. Dimensions: 9"" deep x 21"" wide x 63"" total height. Easily adjustable to hang on any door."
12-04,Wooden daybed frame,4,https://portland.craigslist.org/mlt/fuo/d/portland-wooden-daybed-frame/7693690241.html,"30"" deep x 77"" wide x 26"" tall Ideal for standard couch cushions, twin or daybed mattresses, DIY foam blocks, or even a futon. It was put together with screws, but they have been covered with wood filler, so it can't be taken apart for transport. In other words, you'll need to be able to fit it in your vehicle."
12-04,Classic Elegance: Antique Wooden Dresser with Mirror,80,https://portland.craigslist.org/mlt/fuo/d/portland-classic-elegance-antique/7693690197.html,"Antique Wooden Dresser with Mirror It has some minor scratches and chips; see photos for details. - Main Features: - Era: Vintage/antique appeal - Material: High-quality wood with a polished finish - Mirror: Large, detachable with a wooden frame - Drawers: - Three full-width drawers - Two half-width top drawers - Hardware: Ornate metal pull knobs - Legs: Four legs with front turned legs - Mobility: Front legs fitted with rolling casters for easy relocation - Functionality: Ample storage space, ideal for bedrooms or living areas - Condition: Well-maintained with signs of use that add character - Dimensions: - The dresser itself is 32” wide x 25” deep x 35.5” tall - The mirror adds 21” of height to make the dimensions 32” wide x 25” deep x 56.5” tall"
12-04,Premium Hemlock Lumber 17 pieces,40,https://portland.craigslist.org/mlt/mat/d/premium-hemlock-lumber-17-pieces/7693690122.html,"Details: Quantity & Size: 15 pieces: 6 ft x 1 5/8 in x 1/2 in (Plus two more that I partially stained for free if you want) 2 pieces: 6 ft x 2.5 in x 1/2 in Wood Type: Hemlock Condition: Brand new, unused. Bought for a project that I never got around to."
12-04,Air Jordans High Tops size 11,40,https://portland.craigslist.org/mlt/clo/d/air-jordans-high-tops-size-11/7693685956.html,""
12-04,Genuine Suede ankle boots size 8,16,https://portland.craigslist.org/mlt/clo/d/genuine-suede-ankle-boots-size/7693685902.html,I normally wear a 7.5 and these fit great.
12-04,"Six 10"" white dinnerplates",4,https://portland.craigslist.org/mlt/hsh/d/six-10-white-dinnerplates/7693685851.html,""
12-04,Mosa Whipped Cream Dispenser,16,https://portland.craigslist.org/mlt/hsh/d/mosa-whipped-cream-dispenser/7693685785.html,"Mosa brand: The first and only 100-percent stainless steel cream whipper. Used. Tested: working great! Gasket is in good shape. Can be used with CO2 or Nitrous. - 1/2-liter, brushed stainless steel bottle; 100 % stainless steel head - Designed and created especially for professional chefs and culinary specialists; holds up to 1 pint - Keeps whipped cream fresh in the refrigerator, up to 2 weeks; 100% dishwasher safe - Includes 2 decorator tips with metal base, & charger holder"
